7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpid 2.0.34-2
adw-gtk-theme 6.4-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.16.1-1
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
aom 3.13.1-1
apache 2.4.66-1
appstream 1.1.1-1
apr 1.7.6-1
apr-util 1.6.3-2
archlinux-appstream-data 20251025-2
archlinux-keyring 20251116-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
baobab 49.1-1
base 3-2
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-1
bat 0.26.1-1
binutils 2.45.1-1
bison 3.8.2-8
bluez 5.85-1
bluez-libs 5.85-1
bluez-obex 5.85-1
bluez-utils 5.85-1
bolt 0.9.10-1
breeze-icons 6.21.0-1
brltty 6.8-5
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cdparanoia 10.2-9
chromaprint 1.6.0-2
cifs-utils 7.4-1
cmake 4.2.1-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
composefs 1.0.8-1
containerd 2.2.0-1
coreutils 9.9-1
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.8.1-1
cups 2:2.4.16-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.17.0-2
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
decibels 49.0-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
diffutils 3.12-2
direnv 2.37.1-1
discount 3.0.0.d-1
distrobox 1.8.2.2-1
djvulibre 3.5.29-1
docker 1:29.1.3-1
docker-compose 5.0.0-1
dotconf 1.4.1-1
double-conversion 3.4.0-1
duktape 2.7.0-7
dvisvgm 3.6-1
e2fsprogs 1.47.3-2
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.20-1
eglexternalplatform 1.2.1-1
elementary-icon-theme 8.2.0-1
enchant 2.8.12-2
epiphany 49.2-1
evince 1:48.1-1
evolution-data-server 3.58.2-2
exempi 2.6.6-2
exiv2 0.28.7-1
expat 2.7.3-1
extra-cmake-modules 6.21.0-1
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.56.0-1
fd 10.3.0-1
ffcall 2.5-1
ffmpeg 2:8.0.1-2
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 146.0-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fluidsynth 2.5.1-1
folks 0.15.9-2
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freerdp 2:3.19.1-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse3 3.17.4-1
fzf 0.67.0-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gdm 49.2-1
